,IIIN
% Above Low,0.184
% Held by Institutions,0.7746
52-Wk Range,['24.00 - 47.70']
Annual Dividend $,0.12
Annual Dividend %,0.0042
Ask,29.28
Ask Size,2400.0
B/A Ratio,0.041666666666666664
B/A Size,100x2400
Beta,1.2
Bid,28.06
Bid Size,100.0
Closing Price,28.41
Day Change $,0.19
Day Change %,0.0067
Day High,28.96
Day Low,28.34
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",6.37
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.44200000000000006
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,553.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.46
Prev Close,28.22
Shares Outstanding,19.5M
Short Interest,0.038900000000000004
Today's Open,28.44
Volume,35079.0
Volume 10-day Avg,110186.0
Volume Past Day,(Light)
