,IIIN
Price/Earnings (TTM),4.46271
Price/Sales (TTM),0.66927
Price/Book (MRQ),1.41983
Price/Cash Flow (TTM),3.96692
5yr Low,10.0
5yr High,47.7
5yr Avg Return,0.04865000000000001
EPS Growth 5yr,0.4025723
Revenue Growth 5yr,0.1628464
Dividend Growth 5yr,-0.0436475
Short Int Current Month,720007.0
Short Int Prev Month,831367.0
Short Int Pct of Float,0.0389189
Days to Cover,6.11991
Float,18.50019
Shares Outstanding,19.4781
Institutions Holding Shares,207.0
% Held by Institutions,0.774591
FCF Growth 5yr,-1.8093889788860171
