,UVSP
% Above Low,0.1721
% Held by Institutions,0.7232999999999999
52-Wk Range,['23.48 - 31.93']
Annual Dividend $,0.84
Annual Dividend %,0.03
Ask,27.57
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.9
Bid,27.52
Bid Size,100.0
Closing Price,27.52
Day Change $,-0.5
Day Change %,-0.0178
Day High,28.02
Day Low,27.47
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",2.42
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.264
Last (size),27500.0
Last (time),4:00p ET 11/28/22
Market Cap,804.8M
"P/E Ratio (TTM, GAAP)",11.57
Prev Close,28.02
Shares Outstanding,29.2M
Short Interest,0.0077
Today's Open,28.02
Volume,100677.0
Volume 10-day Avg,83836.0
Volume Past Day,(Heavy Day)
