,UVSP
Price/Earnings (TTM),11.5712
Price/Sales (TTM),2.92086
Price/Book (MRQ),1.08643
Price/Cash Flow (TTM),10.45946
5yr Low,13.2
5yr High,31.93
5yr Avg Return,0.014350000000000007
EPS Growth 5yr,0.2978488
Revenue Growth 5yr,0.1062187
Dividend Growth 5yr,0.0
Short Int Current Month,218959.0
Short Int Prev Month,275247.0
Short Int Pct of Float,0.0076514
Days to Cover,2.14141
Float,28.61277
Shares Outstanding,29.24245
Institutions Holding Shares,195.0
% Held by Institutions,0.7233459999999999
FCF Growth 5yr,0.3744638097617858
