,GLNG
% Below High,0.1704
% Held by Institutions,0.7570999999999999
52-Wk Range,['10.79 - 30.66']
Annual Dividend $,
Annual Dividend %,
Ask,25.85
Ask Size,100.0
B/A Ratio,46.0
B/A Size,4600x100
Beta,0.6
Bid,24.82
Bid Size,4600.0
Closing Price,25.43
Day Change $,0.3
Day Change %,0.011899999999999999
Day High,25.66
Day Low,25.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.5
Ex-dividend Date,No dividend
Historical Volatility,0.519
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",3.39
Prev Close,25.13
Shares Outstanding,107.5M
Short Interest,0.0253
Today's Open,25.43
Volume,393371.0
Volume 10-day Avg,1445981.0
Volume Past Day,(Light)
