,GLNG
Price/Earnings (TTM),3.39233
Price/Sales (TTM),8.44162
Price/Book (MRQ),1.12592
Price/Cash Flow (TTM),2.60912
5yr Low,4.54
5yr High,35.54
5yr Avg Return,0.09706666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.4128171
Dividend Growth 5yr,
Short Int Current Month,2448341.0
Short Int Prev Month,2480832.0
Short Int Pct of Float,0.025252
Days to Cover,1.54828
Float,91.89247
Shares Outstanding,107.5
Institutions Holding Shares,293.0
% Held by Institutions,0.757101
FCF Growth 5yr,-0.2937908496732027
