,GLNG
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-3.552631578947368
Growth 2yr High Est,-0.28398058252427183
Growth 2yr Consensus Est,-1.91830608073582
Growth 5yr Low Est,-3.552631578947368
Growth 5yr High Est,-0.28398058252427183
Growth 5yr Consensus Est,-1.91830608073582
Growth 5yr Actual/Est,-0.07197356378518338
Growth 3yr Historic,-0.12132725430597768
