,TPC
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-2.4176470588235297
Growth 1yr High Est,-2.2033898305084745
Growth 1yr Consensus Est,-2.310518444666002
Growth 2yr Low Est,-1.8021845252623874
Growth 2yr High Est,-1.9655446805124532
Growth 2yr Consensus Est,-1.8838646028874204
Growth 5yr Low Est,-1.2441913929099675
Growth 5yr High Est,-1.362744072722588
Growth 5yr Consensus Est,-1.3034677328162776
Growth 5yr Actual/Est,-1.687924934837261
Growth 3yr Historic,-0.7538273750413771
