,TPC
% Above Low,0.35369999999999996
% Held by Institutions,0.6581
52-Wk Range,['5.40 - 13.97']
Annual Dividend $,
Annual Dividend %,
Ask,7.39
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,7.06
Bid Size,500.0
Change Since Close,0.00| |(0.00%)
Closing Price,7.31
Day Change $,-0.67
Day Change %,-0.084
Day High,7.97
Day Low,7.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.71
Ex-dividend Date,No dividend
Historical Volatility,0.455
Last (size),3.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,376.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,7.98
Shares Outstanding,51.5M
Short Interest,0.0478
Today's Open,7.95
Volume,329709.0
Volume 10-day Avg,305826.0
Volume Past Day,(Average)
