,TPC
Price/Earnings (TTM),
Price/Sales (TTM),0.10479
Price/Book (MRQ),0.26738
Price/Cash Flow (TTM),24.95305
5yr Low,2.61
5yr High,28.3
5yr Avg Return,-0.1642833333333333
EPS Growth 5yr,-0.0141506
Revenue Growth 5yr,-0.0136914
Dividend Growth 5yr,
Short Int Current Month,1998748.0
Short Int Prev Month,2210517.0
Short Int Pct of Float,0.047845700000000005
Days to Cover,4.1616
Float,41.84965
Shares Outstanding,51.48522
Institutions Holding Shares,201.0
% Held by Institutions,0.658082
FCF Growth 5yr,-0.27057587851846
