,CROX
% Above Low,1.0597
% Held by Institutions,0.847
52-Wk Range,['46.08 - 173.88']
Annual Dividend $,
Annual Dividend %,
Ask,95.03
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.9
Bid,94.01
Bid Size,100.0
Closing Price,94.91
Day Change $,-1.72
Day Change %,-0.0178
Day High,96.8
Day Low,94.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.06
Ex-dividend Date,No dividend
Historical Volatility,0.718
Last (size),30.0
Last (time),12:59p ET 11/25/22
Market Cap,5.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.47
Prev Close,96.63
Shares Outstanding,61.7M
Short Interest,0.08539999999999999
Today's Open,95.9
Volume,711737.0
Volume 10-day Avg,2068761.0
Volume Past Day,(Light)
