,CROX
Price/Earnings (TTM),10.47068
Price/Sales (TTM),1.83335
Price/Book (MRQ),9.28334
Price/Cash Flow (TTM),9.90036
5yr Low,8.4
5yr High,183.88
5yr Avg Return,0.5120333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.1742374
Dividend Growth 5yr,
Short Int Current Month,5133121.0
Short Int Prev Month,4540333.0
Short Int Pct of Float,0.0854331
Days to Cover,1.84607
Float,60.05755
Shares Outstanding,61.74493
Institutions Holding Shares,484.0
% Held by Institutions,0.8469530000000001
FCF Growth 5yr,-1.7704030980466847
