,CROX
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.26543209876543217
Growth 1yr High Est,0.2827669902912622
Growth 1yr Consensus Est,0.27409954452834717
Growth 2yr Low Est,0.009789220114423403
Growth 2yr High Est,0.2227458414086395
Growth 2yr Consensus Est,0.11626753076153146
Growth 5yr Low Est,1.0365401796774647
Growth 5yr High Est,1.1174704816799295
Growth 5yr Consensus Est,1.0770053306786973
Growth 5yr Actual/Est,0.7131878947255335
Growth 3yr Historic,0.6459627329192547
