,RLGY
% Above Low,0.1241
% Held by Institutions,1.0874
52-Wk Range,['6.09 - 20.59']
Annual Dividend $,
Annual Dividend %,
Ask,7.5
Ask Size,2000.0
B/A Ratio,0.05
B/A Size,100x2000
Beta,2.2
Bid,6.0
Bid Size,100.0
Closing Price,6.84
Day Change $,0.19
Day Change %,0.0286
Day High,6.85
Day Low,6.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.81
Ex-dividend Date,No dividend
Historical Volatility,0.561
Last (size),53.0
Last (time),5:00p ET 11/25/22
Market Cap,748.8M
"P/E Ratio (TTM, GAAP)",3.77
Prev Close,6.65
Shares Outstanding,109.5M
Short Interest,0.1354
Today's Open,6.67
Volume,672117.0
Volume 10-day Avg,1788540.0
Volume Past Day,(Light)
