,RLGY
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.5944055944055944
Growth 1yr High Est,-0.5209003215434083
Growth 1yr Consensus Est,-0.5576529579745013
Growth 2yr Low Est,-0.335995900651073
Growth 2yr High Est,-0.16313472453009337
Growth 2yr Consensus Est,-0.24956531259058318
Growth 5yr Low Est,-0.04478579756666523
Growth 5yr High Est,0.010603051186633516
Growth 5yr Consensus Est,-0.017091373190015857
Growth 5yr Actual/Est,0.2538257680682933
Growth 3yr Historic,0.3695127304653204
