,RLGY
Price/Earnings (TTM),3.7714
Price/Sales (TTM),0.09907
Price/Book (MRQ),0.33835
Price/Cash Flow (TTM),1.6678
5yr Low,2.09
5yr High,28.07
5yr Avg Return,-0.12906666666666666
EPS Growth 5yr,0.1432819
Revenue Growth 5yr,0.0656093
Dividend Growth 5yr,
Short Int Current Month,14399956.0
Short Int Prev Month,14080061.0
Short Int Pct of Float,0.1353644
Days to Cover,7.42902
Float,106.3757
Shares Outstanding,109.4801
Institutions Holding Shares,293.0
% Held by Institutions,1.08736
FCF Growth 5yr,-0.6323911045550746
