,CFLT
Price/Earnings (TTM),
Price/Sales (TTM),12.05945
Price/Book (MRQ),8.23361
Price/Cash Flow (TTM),
5yr Low,16.48
5yr High,94.97
5yr Avg Return,0.01394999999999996
Short Int Current Month,12915829.0
Short Int Prev Month,15322165.0
Short Int Pct of Float,0.0855273
Days to Cover,2.84189
Float,151.3913
Shares Outstanding,286.4018
Institutions Holding Shares,290.0
% Held by Institutions,0.754628
FCF Growth 5yr,0.2108981145392216
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
