,CFLT
% Above Low,0.37229999999999996
% Held by Institutions,0.7545999999999999
52-Wk Range,['16.48 - 85.50']
Annual Dividend $,
Annual Dividend %,
Ask,22.62
Ask Size,2200.0
B/A Ratio,0.09090909090909091
B/A Size,200x2200
Beta,
Bid,22.5
Bid Size,200.0
Closing Price,22.62
Day Change $,-0.56
Day Change %,-0.0242
Day High,23.12
Day Low,22.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.67
Ex-dividend Date,No dividend
Historical Volatility,0.965
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,6.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,23.18
Shares Outstanding,286.4M
Short Interest,0.0855
Today's Open,22.8
Volume,649776.0
Volume 10-day Avg,2914953.0
Volume Past Day,(Light)
