,DNUT
Price/Earnings (TTM),
Price/Sales (TTM),1.78866
Price/Book (MRQ),2.28016
Price/Cash Flow (TTM),24.86082
5yr Low,11.25
5yr High,21.69
5yr Avg Return,0.0026500000000000056
Short Int Current Month,8704418.0
Short Int Prev Month,9011881.0
Short Int Pct of Float,0.1308128
Days to Cover,11.37314
Float,82.85541
Shares Outstanding,167.4371
Institutions Holding Shares,158.0
% Held by Institutions,0.297379
FCF Growth 5yr,-2.362564687881242
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
