,DNUT
% Below High,0.1826
% Held by Institutions,0.2974
52-Wk Range,['11.25 - 19.55']
Annual Dividend $,0.14
Annual Dividend %,0.0088
Ask,15.99
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,15.87
Bid Size,200.0
Closing Price,15.98
Day Change $,0.09
Day Change %,0.005699999999999999
Day High,16.04
Day Low,15.84
Dividend Pay Date,2022-11-09 00:00:00
"EPS (TTM, GAAP)",-0.07
Ex-dividend,2022-10-25 00:00:00
Ex-dividend Date,10/25/22
Historical Volatility,0.47600000000000003
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.89
Shares Outstanding,167.4M
Short Interest,0.1308
Today's Open,15.92
Volume,308241.0
Volume 10-day Avg,1164897.0
Volume Past Day,(Light)
