,ORGO
% Above Low,0.2444
% Held by Institutions,0.40630000000000005
52-Wk Range,['2.23 - 10.66']
Annual Dividend $,
Annual Dividend %,
Ask,2.78
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.4
Bid,2.78
Bid Size,300.0
Day Change $,-0.005
Day Change %,-0.0018
Day High,2.78
Day Low,2.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.46
Ex-dividend Date,No dividend
Historical Volatility,0.6950000000000001
Last (size),100.0
Last (time),9:37a ET 11/28/22
Market Cap,363.3M
"P/E Ratio (TTM, GAAP)",6.1
Prev Close,2.78
Price,2.78
Shares Outstanding,130.9M
Short Interest,0.09230000000000001
Today's Open,2.74
Volume Past Day,(Light)
