,HPE
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.03684210526315801
Growth 1yr High Est,0.035532994923857864
Growth 1yr Consensus Est,0.036187550093507936
Growth 2yr Low Est,-0.022188084424258514
Growth 2yr High Est,0.05698218373643882
Growth 2yr Consensus Est,0.017397049656090152
Growth 5yr Low Est,0.044970806053766715
Growth 5yr High Est,0.0863693143919643
Growth 5yr Consensus Est,0.0656700602228655
Growth 5yr Actual/Est,0.06249296988098438
Growth 3yr Historic,0.053640929064657866
