,HPE
% Below High,0.10869999999999999
% Held by Institutions,0.8231999999999999
52-Wk Range,['11.90 - 17.76']
Annual Dividend $,0.48
Annual Dividend %,0.030299999999999997
Ask,16.8
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.2
Bid,14.2
Bid Size,400.0
Closing Price,15.83
Day Change $,0.03
Day Change %,0.0019
Day High,15.99
Day Low,15.73
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",2.8
Ex-dividend,2022-09-09 00:00:00
Ex-dividend Date,09/09/22
Historical Volatility,0.344
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,20.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.66
Prev Close,15.8
Shares Outstanding,1.3B
Short Interest,0.0183
Today's Open,15.8
Volume,5567625.0
Volume 10-day Avg,13234305.0
Volume Past Day,(Light)
