,SYBT
% Below High,0.0593
% Held by Institutions,0.5246
52-Wk Range,['50.83 - 78.71']
Annual Dividend $,1.16
Annual Dividend %,0.0154
Ask,74.13
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,73.97
Bid Size,200.0
Day Change $,-1.36
Day Change %,-0.018000000000000002
Day High,75.4
Day Low,73.95
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.09
Ex-dividend,2022-12-16 00:00:00
Ex-dividend Date,12/16/22
Historical Volatility,0.269
Last (size),6.0
Last (time),3:50p ET 11/28/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",24.43
Prev Close,75.4
Price,74.05
Shares Outstanding,29.3M
Short Interest,0.0269
Today's Open,75.21
Volume Past Day,(Light)
