,SYBT
Price/Earnings (TTM),24.43356
Price/Sales (TTM),7.38027
Price/Book (MRQ),3.02966
Price/Cash Flow (TTM),20.59697
5yr Low,22.98
5yr High,78.71
5yr Avg Return,0.13083333333333333
EPS Growth 5yr,0.1051324
Revenue Growth 5yr,0.11618410000000001
Dividend Growth 5yr,0.0967036
Short Int Current Month,766544.0
Short Int Prev Month,892075.0
Short Int Pct of Float,0.026929500000000002
Days to Cover,10.48595
Float,28.1778
Shares Outstanding,29.25808
Institutions Holding Shares,212.0
% Held by Institutions,0.52455
FCF Growth 5yr,2.2325315005727377
