,CVBF
Price/Earnings (TTM),18.21489
Price/Sales (TTM),7.61336
Price/Book (MRQ),2.10874
Price/Cash Flow (TTM),22.17423
5yr Low,14.92
5yr High,29.25
5yr Avg Return,0.04211666666666667
EPS Growth 5yr,0.10747
Revenue Growth 5yr,0.09676729999999999
Dividend Growth 5yr,0.0844718
Short Int Current Month,3658529.0
Short Int Prev Month,3889320.0
Short Int Pct of Float,0.027669600000000003
Days to Cover,6.43361
Float,132.3247
Shares Outstanding,139.808
Institutions Holding Shares,307.0
% Held by Institutions,0.735929
FCF Growth 5yr,0.22384715542610276
