,ADUS
Price/Earnings (TTM),39.14623
Price/Sales (TTM),1.86723
Price/Book (MRQ),2.81689
Price/Cash Flow (TTM),29.49584
5yr Low,31.2
5yr High,129.01
5yr Avg Return,0.27025000000000005
EPS Growth 5yr,0.2145499
Revenue Growth 5yr,0.16610969999999997
Dividend Growth 5yr,
Short Int Current Month,560817.0
Short Int Prev Month,584929.0
Short Int Pct of Float,0.035457
Days to Cover,4.69299
Float,15.79006
Shares Outstanding,16.11036
Institutions Holding Shares,293.0
% Held by Institutions,1.002281
FCF Growth 5yr,3.637966875930925
