,ADUS
% Below High,0.039900000000000005
% Held by Institutions,1.0023
52-Wk Range,['68.57 - 112.11']
Annual Dividend $,
Annual Dividend %,
Ask,169.3
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.8
Bid,77.0
Bid Size,300.0
Closing Price,107.64
Day Change $,-0.95
Day Change %,-0.0087
Day High,108.97
Day Low,107.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.75
Ex-dividend Date,No dividend
Historical Volatility,0.402
Last (size),7.0
Last (time),12:52p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.15
Prev Close,108.59
Shares Outstanding,16.1M
Short Interest,0.0355
Today's Open,107.65
Volume,21248.0
Volume 10-day Avg,70793.0
Volume Past Day,(Light)
