,ACLS
Price/Earnings (TTM),16.54529
Price/Sales (TTM),3.03331
Price/Book (MRQ),4.25204
Price/Cash Flow (TTM),15.04856
5yr Low,12.99
5yr High,83.74
5yr Avg Return,0.2622333333333333
EPS Growth 5yr,0.5194229
Revenue Growth 5yr,0.19931149999999997
Dividend Growth 5yr,
Short Int Current Month,1131722.0
Short Int Prev Month,1257567.0
Short Int Pct of Float,0.0351214
Days to Cover,2.67814
Float,32.19281
Shares Outstanding,32.84862
Institutions Holding Shares,383.0
% Held by Institutions,0.884527
FCF Growth 5yr,0.5252224605680056
