,PSX
% Below High,0.0336
% Held by Institutions,0.6794
52-Wk Range,['67.93 - 113.53']
Annual Dividend $,3.88
Annual Dividend %,0.035
Ask,109.84
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,109.7
Bid Size,100.0
Day Change $,-1.06
Day Change %,-0.0096
Day High,110.0
Day Low,107.83
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",21.85
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.399
Last (size),160.0
Last (time),11:45a ET 11/28/22
Market Cap,51.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.07
Prev Close,110.78
Price,109.72
Shares Outstanding,472.6M
Short Interest,0.0229
Today's Open,108.25
Volume Past Day,(Light)
