,PSX
Price/Earnings (TTM),5.06985
Price/Sales (TTM),0.32257
Price/Book (MRQ),1.8545
Price/Cash Flow (TTM),4.22209
5yr Low,40.04
5yr High,123.97
5yr Avg Return,0.06321666666666666
EPS Growth 5yr,0.0028272
Revenue Growth 5yr,0.0564011
Dividend Growth 5yr,0.08120609999999999
Short Int Current Month,10788460.0
Short Int Prev Month,12627921.0
Short Int Pct of Float,0.022934
Days to Cover,2.7694
Float,470.4659
Shares Outstanding,472.6322
Institutions Holding Shares,1739.0
% Held by Institutions,0.6794070000000001
FCF Growth 5yr,0.7098959121231158
