,RKLB
Price/Earnings (TTM),
Price/Sales (TTM),15.3419
Price/Book (MRQ),2.74414
Price/Cash Flow (TTM),
5yr Low,3.53
5yr High,21.34
5yr Avg Return,-0.14550000000000002
Short Int Current Month,21249096.0
Short Int Prev Month,19320875.0
Short Int Pct of Float,0.060681399999999996
Days to Cover,6.44301
Float,377.1907
Shares Outstanding,473.2572
Institutions Holding Shares,226.0
% Held by Institutions,0.565344
FCF Growth 5yr,0.519362663098026
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
