,PCVX
% Below High,0.062
% Held by Institutions,0.7304999999999999
52-Wk Range,['16.78 - 47.67']
Annual Dividend $,
Annual Dividend %,
Ask,44.73
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,44.59
Bid Size,200.0
Day Change $,0.7159
Day Change %,0.0163
Day High,47.67
Day Low,44.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.95
Ex-dividend Date,No dividend
Historical Volatility,0.775
Last (size),100.0
Last (time),10:21a ET 11/28/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,44.0
Price,44.72
Shares Outstanding,79.0M
Short Interest,0.0507
Today's Open,44.11
Volume Past Day,(Heavy Day)
