,PCVX
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),7.41753
Price/Cash Flow (TTM),
5yr Low,15.51
5yr High,58.48
5yr Avg Return,0.3507333333333333
Short Int Current Month,3637756.0
Short Int Prev Month,4149864.0
Short Int Pct of Float,0.0506717
Days to Cover,3.74181
Float,72.19005
Shares Outstanding,78.9802
Institutions Holding Shares,188.0
% Held by Institutions,0.730501
FCF Growth 5yr,0.3683131212350945
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
