,VERU
% Above Low,0.2488
% Held by Institutions,0.4003
52-Wk Range,['4.34 - 24.55']
Annual Dividend $,
Annual Dividend %,
Ask,5.42
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,-0.3
Bid,5.39
Bid Size,300.0
Closing Price,5.42
Day Change $,-0.19
Day Change %,-0.0339
Day High,5.8
Day Low,5.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,1.784
Last (size),2000.0
Last (time),3:59p ET 11/28/22
Market Cap,432.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.61
Shares Outstanding,80.1M
Short Interest,0.2553
Today's Open,5.49
Volume,1882429.0
Volume 10-day Avg,4368831.0
Volume Past Day,(Light)
