,VERU
Price/Earnings (TTM),
Price/Sales (TTM),8.5786
Price/Book (MRQ),3.84638
Price/Cash Flow (TTM),
5yr Low,0.9
5yr High,24.57
5yr Avg Return,0.45803333333333335
EPS Growth 5yr,0.4923746
Revenue Growth 5yr,0.2258826
Dividend Growth 5yr,
Short Int Current Month,15487620.0
Short Int Prev Month,14688349.0
Short Int Pct of Float,0.2553392
Days to Cover,1.28278
Float,60.65508
Shares Outstanding,80.14674
Institutions Holding Shares,181.0
% Held by Institutions,0.400345
FCF Growth 5yr,0.36715955407915885
