,FL
Price/Earnings (TTM),8.85481
Price/Sales (TTM),0.41482
Price/Book (MRQ),1.11424
Price/Cash Flow (TTM),5.70959
5yr Low,17.46
5yr High,68.0
5yr Avg Return,0.008466666666666673
EPS Growth 5yr,0.11848
Revenue Growth 5yr,0.0289701
Dividend Growth 5yr,-0.045882
Short Int Current Month,9383688.0
Short Int Prev Month,8860618.0
Short Int Pct of Float,0.1026937
Days to Cover,3.98638
Float,91.66207
Shares Outstanding,93.30165
Institutions Holding Shares,405.0
% Held by Institutions,0.9270010000000001
FCF Growth 5yr,-0.6072290492075219
