,FL
% Below High,0.2186
% Held by Institutions,0.927
52-Wk Range,['23.85 - 49.81']
Annual Dividend $,1.6
Annual Dividend %,0.041100000000000005
Ask,42.0
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,1.2
Bid,38.5
Bid Size,800.0
Closing Price,38.92
Day Change $,1.39
Day Change %,0.037000000000000005
Day High,38.92
Day Low,37.64
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2023-01-12 00:00:00
Ex-dividend Date,01/12/23
Historical Volatility,0.611
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.85
Prev Close,37.53
Shares Outstanding,93.3M
Short Interest,0.1027
Today's Open,37.64
Volume,1721554.0
Volume 10-day Avg,4466946.0
Volume Past Day,(Light)
