,PNTG
% Above Low,0.1371
% Held by Institutions,0.8725
52-Wk Range,['8.68 - 24.23']
Annual Dividend $,
Annual Dividend %,
Ask,9.87
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,
Bid,9.85
Bid Size,500.0
Day Change $,-0.06
Day Change %,-0.006
Day High,10.02
Day Low,9.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.02
Ex-dividend Date,No dividend
Historical Volatility,0.725
Last (size),12.0
Last (time),11:10a ET 11/28/22
Market Cap,292.9M
"P/E Ratio (TTM, GAAP)",398.96
Prev Close,9.93
Price,9.87
Shares Outstanding,29.7M
Short Interest,0.0225
Today's Open,9.92
Volume Past Day,(Light)
