,PNTG
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.2597402597402598
Growth 1yr High Est,-0.27500000000000013
Growth 1yr Consensus Est,-0.26737012987013
Growth 2yr Low Est,-0.05969469127363858
Growth 2yr High Est,0.06077586206896557
Growth 2yr Consensus Est,0.0005405853976634956
Growth 5yr Low Est,-0.039796460849092385
Growth 5yr High Est,0.04051724137931038
Growth 5yr Consensus Est,0.000360390265108997
Growth 5yr Actual/Est,0.09926843204687669
Growth 3yr Historic,-0.03507558015754736
