,PNTG
Price/Earnings (TTM),398.9554
Price/Sales (TTM),0.64015
Price/Book (MRQ),2.53053
Price/Cash Flow (TTM),48.17537
5yr Low,6.15
5yr High,69.56
5yr Avg Return,0.9854250000000002
EPS Growth 5yr,-0.2152523
Revenue Growth 5yr,0.1514581
Dividend Growth 5yr,
Short Int Current Month,612339.0
Short Int Prev Month,649800.0
Short Int Pct of Float,0.0224788
Days to Cover,4.0395
Float,27.11868
Shares Outstanding,29.67661
Institutions Holding Shares,189.0
% Held by Institutions,0.8725069999999999
FCF Growth 5yr,-1.0458407673273837
