,RE
% Below High,0.0204
% Held by Institutions,0.9503
52-Wk Range,['244.58 - 337.50']
Annual Dividend $,6.6
Annual Dividend %,0.0197
Ask,330.77
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.6
Bid,330.27
Bid Size,100.0
Day Change $,-3.8
Day Change %,-0.011399999999999999
Day High,333.63
Day Low,330.0
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",13.4
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.29100000000000004
Last (size),100.0
Last (time),12:27p ET 11/28/22
Market Cap,12.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.96
Prev Close,334.42
Price,330.62
Shares Outstanding,39.2M
Short Interest,0.013000000000000001
Today's Open,332.67
Volume Past Day,(Light)
