,RE
Price/Earnings (TTM),24.96443
Price/Sales (TTM),1.05744
Price/Book (MRQ),1.70948
Price/Cash Flow (TTM),
5yr Low,157.32
5yr High,337.5
5yr Avg Return,0.07708333333333334
EPS Growth 5yr,0.0789315
Revenue Growth 5yr,0.15289450000000002
Dividend Growth 5yr,0.0569605
Short Int Current Month,501581.0
Short Int Prev Month,551707.0
Short Int Pct of Float,0.0130121
Days to Cover,1.28177
Float,38.54855
Shares Outstanding,39.16503
Institutions Holding Shares,768.0
% Held by Institutions,0.9503100000000001
FCF Growth 5yr,
