,RE
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.17020510975170922
Growth 1yr High Est,-0.15280135823429541
Growth 1yr Consensus Est,-0.16150323399300232
Growth 2yr Low Est,0.23449848588737177
Growth 2yr High Est,0.34844902028164987
Growth 2yr Consensus Est,0.29147375308451084
Growth 5yr Low Est,0.6879302866305214
Growth 5yr High Est,0.7279856958231515
Growth 5yr Consensus Est,0.7079579912268363
Growth 5yr Actual/Est,0.7045165391670922
Growth 3yr Historic,0.5582390682201357
