,DOMO
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.2558139534883721
Growth 1yr High Est,-0.26984126984126977
Growth 1yr Consensus Est,-0.26282761166482094
Growth 2yr Low Est,-0.04457364341085268
Growth 2yr High Est,-0.4066597653554175
Growth 2yr Consensus Est,-0.22561670438313508
Growth 5yr Low Est,-0.1891682650043954
Growth 5yr High Est,-0.37129863267770874
Growth 5yr Consensus Est,-0.28023344884105206
Growth 5yr Actual/Est,-0.31625970121813907
Growth 3yr Historic,-0.1964970170937529
