,DOMO
% Above Low,0.0675
% Held by Institutions,0.7904000000000001
52-Wk Range,['12.44 - 75.44']
Annual Dividend $,
Annual Dividend %,
Ask,13.62
Ask Size,700.0
B/A Ratio,2.0
B/A Size,1400x700
Beta,2.3
Bid,13.28
Bid Size,1400.0
Closing Price,13.28
Day Change $,-0.69
Day Change %,-0.049400000000000006
Day High,13.86
Day Low,13.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.74
Ex-dividend Date,No dividend
Historical Volatility,0.908
Last (size),4.0
Last (time),12:59p ET 11/25/22
Market Cap,455.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.97
Shares Outstanding,34.3M
Short Interest,0.0326
Today's Open,13.86
Volume,159871.0
Volume 10-day Avg,406308.0
Volume Past Day,(Light)
