,DOMO
Price/Earnings (TTM),
Price/Sales (TTM),1.59628
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,7.62
5yr High,98.35
5yr Avg Return,0.1815
EPS Growth 5yr,
Revenue Growth 5yr,0.2818374
Dividend Growth 5yr,
Short Int Current Month,977368.0
Short Int Prev Month,1271463.0
Short Int Pct of Float,0.0325504
Days to Cover,2.12352
Float,29.91442
Shares Outstanding,34.2659
Institutions Holding Shares,215.0
% Held by Institutions,0.7903910000000001
FCF Growth 5yr,0.8748515277951571
