,UBSI
% Below High,0.046
% Held by Institutions,0.7095999999999999
52-Wk Range,['33.11 - 44.15']
Annual Dividend $,1.44
Annual Dividend %,0.0334
Ask,42.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,41.82
Bid Size,100.0
Closing Price,42.12
Day Change $,-0.94
Day Change %,-0.0218
Day High,42.95
Day Low,41.93
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",2.63
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.282
Last (size),1100.0
Last (time),3:59p ET 11/28/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.36
Prev Close,43.06
Shares Outstanding,134.7M
Short Interest,0.028900000000000002
Today's Open,42.87
Volume,463032.0
Volume 10-day Avg,483944.0
Volume Past Day,(Average)
