,UBSI
Price/Earnings (TTM),16.35633
Price/Sales (TTM),5.76781
Price/Book (MRQ),1.30566
Price/Cash Flow (TTM),
5yr Low,19.67
5yr High,44.15
5yr Avg Return,0.027516666666666665
EPS Growth 5yr,0.0736271
Revenue Growth 5yr,0.1107176
Dividend Growth 5yr,0.011837599999999998
Short Int Current Month,3806052.0
Short Int Prev Month,5020572.0
Short Int Pct of Float,0.028876699999999998
Days to Cover,5.95406
Float,131.8347
Shares Outstanding,134.659
Institutions Holding Shares,402.0
% Held by Institutions,0.709554
FCF Growth 5yr,0.15454082459430055
