,FFBC
Price/Earnings (TTM),12.54301
Price/Sales (TTM),3.78332
Price/Book (MRQ),1.23599
Price/Cash Flow (TTM),10.85158
5yr Low,10.83
5yr High,33.7
5yr Avg Return,0.013099999999999994
EPS Growth 5yr,0.08417949999999999
Revenue Growth 5yr,0.09571690000000001
Dividend Growth 5yr,0.0283467
Short Int Current Month,2011202.0
Short Int Prev Month,2252887.0
Short Int Pct of Float,0.0216656
Days to Cover,6.78186
Float,92.93069
Shares Outstanding,94.83961
Institutions Holding Shares,296.0
% Held by Institutions,0.7449809999999999
FCF Growth 5yr,-0.05130531139041775
