,FFBC
% Below High,0.0313
% Held by Institutions,0.745
52-Wk Range,['18.75 - 26.83']
Annual Dividend $,0.92
Annual Dividend %,0.0354
Ask,26.95
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,20.88
Bid Size,100.0
Closing Price,25.99
Day Change $,0.04
Day Change %,0.0015
Day High,26.08
Day Low,25.82
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.07
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.28500000000000003
Last (size),44.0
Last (time),1:00p ET 11/25/22
Market Cap,2.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.54
Prev Close,25.95
Shares Outstanding,94.8M
Short Interest,0.0217
Today's Open,26.08
Volume,92244.0
Volume 10-day Avg,246783.0
Volume Past Day,(Light)
