,SGFY
Price/Earnings (TTM),
Price/Sales (TTM),8.64152
Price/Book (MRQ),10.28029
Price/Cash Flow (TTM),
5yr Low,10.7
5yr High,40.79
5yr Avg Return,0.21034999999999995
Short Int Current Month,19338456.0
Short Int Prev Month,15427391.0
Short Int Pct of Float,0.5096752
Days to Cover,8.79134
Float,177.715
Shares Outstanding,235.9488
Institutions Holding Shares,255.0
% Held by Institutions,1.190519
FCF Growth 5yr,-0.6777706225907143
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
