,SGFY
% Below High,0.0385
% Held by Institutions,1.1905
52-Wk Range,['10.70 - 29.88']
Annual Dividend $,
Annual Dividend %,
Ask,28.72
Ask Size,600.0
B/A Ratio,4.0
B/A Size,2400x600
Beta,
Bid,28.72
Bid Size,2400.0
Day Change $,0.02
Day Change %,0.0007000000000000001
Day High,28.8
Day Low,28.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.2
Ex-dividend Date,No dividend
Historical Volatility,0.6559999999999999
Last (size),200.0
Last (time),2:05p ET 11/28/22
Market Cap,6.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,28.71
Price,28.73
Shares Outstanding,235.9M
Short Interest,0.5097
Today's Open,28.74
Volume Past Day,(Light)
