,HTLF
Price/Earnings (TTM),10.88553
Price/Sales (TTM),2.98833
Price/Book (MRQ),1.35607
Price/Cash Flow (TTM),9.59628
5yr Low,25.26
5yr High,61.95
5yr Avg Return,0.004083333333333331
EPS Growth 5yr,0.09176690000000001
Revenue Growth 5yr,0.125166
Dividend Growth 5yr,
Short Int Current Month,496513.0
Short Int Prev Month,500157.0
Short Int Pct of Float,0.0128539
Days to Cover,3.80257
Float,38.67304
Shares Outstanding,42.44482
Institutions Holding Shares,242.0
% Held by Institutions,0.625845
FCF Growth 5yr,0.38552678892484726
