,HTLF
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.06719367588932801
Growth 1yr High Est,-0.07156673114119927
Growth 1yr Consensus Est,-0.06938020351526364
Growth 2yr Low Est,-0.00393582099551143
Growth 2yr High Est,0.057966634429400365
Growth 2yr Consensus Est,0.027015406716944468
Growth 5yr Low Est,0.07415585797515065
Growth 5yr High Est,0.10601695430931288
Growth 5yr Consensus Est,0.09008640614223176
Growth 5yr Actual/Est,0.08470716112531973
Growth 3yr Historic,0.06571976616733655
