,OTLY
% Above Low,0.0348
% Held by Institutions,0.2119
52-Wk Range,['1.58 - 9.80']
Annual Dividend $,
Annual Dividend %,
Ask,1.64
Ask Size,11900.0
B/A Ratio,0.5630252100840336
B/A Size,6700x11900
Beta,
Bid,1.63
Bid Size,6700.0
Day Change $,0.035
Day Change %,0.0219
Day High,1.66
Day Low,1.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.782
Last (size),300.0
Last (time),9:49a ET 11/28/22
Market Cap,969.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.6
Price,1.64
Shares Outstanding,591.9M
Short Interest,0.0732
Today's Open,1.62
Volume Past Day,(Light)
