,OTLY
Price/Earnings (TTM),
Price/Sales (TTM),1.32866
Price/Book (MRQ),1.07767
Price/Cash Flow (TTM),
5yr Low,1.58
5yr High,29.0
5yr Avg Return,-0.7184
Short Int Current Month,22745505.0
Short Int Prev Month,21619638.0
Short Int Pct of Float,0.07318920000000001
Days to Cover,5.64948
Float,310.5308
Shares Outstanding,592.164
Institutions Holding Shares,156.0
% Held by Institutions,0.211888
FCF Growth 5yr,0.2692187569714006
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
