,DV
Price/Earnings (TTM),83.10358
Price/Sales (TTM),9.83853
Price/Book (MRQ),4.96432
Price/Cash Flow (TTM),47.83862
5yr Low,17.22
5yr High,48.42
5yr Avg Return,-0.1439
Short Int Current Month,4431177.0
Short Int Prev Month,4706677.0
Short Int Pct of Float,0.0460605
Days to Cover,1.91552
Float,163.7496
Shares Outstanding,164.8751
Institutions Holding Shares,223.0
% Held by Institutions,0.9993940000000001
FCF Growth 5yr,-0.8583237579459658
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
