,DV
% Above Low,0.4704
% Held by Institutions,0.9994
52-Wk Range,['17.22 - 33.90']
Annual Dividend $,
Annual Dividend %,
Ask,33.65
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,25.32
Day Change $,-0.55
Day Change %,-0.0213
Day High,25.69
Day Low,25.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.5860000000000001
Last (size),20600.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",83.1
Prev Close,25.87
Shares Outstanding,164.9M
Short Interest,0.0461
Today's Open,25.62
Volume,294954.0
Volume 10-day Avg,1697123.0
Volume Past Day,(Light)
