,MSA
% Below High,0.0729
% Held by Institutions,0.8393
52-Wk Range,['108.75 - 153.30']
Annual Dividend $,1.84
Annual Dividend %,0.0129
Ask,227.13
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,56.79
Bid Size,200.0
Closing Price,142.12
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-10 00:00:00
"EPS (TTM, GAAP)",1.75
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.302
Last (size),216.0
Last (time),5:00p ET 11/25/22
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",81.4
Prev Close,142.12
Shares Outstanding,39.2M
Short Interest,0.0158
Today's Open,
Volume,31450.0
Volume 10-day Avg,129593.0
Volume Past Day,(Light)
