,MSA
Price/Earnings (TTM),81.39841
Price/Sales (TTM),3.72699
Price/Book (MRQ),6.641
Price/Cash Flow (TTM),44.57343
5yr Low,71.47
5yr High,172.84
5yr Avg Return,0.10541666666666666
EPS Growth 5yr,-0.25947780000000004
Revenue Growth 5yr,0.040238300000000005
Dividend Growth 5yr,0.0596278
Short Int Current Month,581021.0
Short Int Prev Month,627582.0
Short Int Pct of Float,0.0158297
Days to Cover,5.2074
Float,36.72576
Shares Outstanding,39.21608
Institutions Holding Shares,346.0
% Held by Institutions,0.8392870000000001
FCF Growth 5yr,0.684985131751492
