,KELYA
% Above Low,0.264
% Held by Institutions,0.885
52-Wk Range,['13.41 - 23.00']
Annual Dividend $,0.3
Annual Dividend %,0.0177
Ask,19.0
Ask Size,500.0
B/A Ratio,4.0
B/A Size,2000x500
Beta,1.1
Bid,16.95
Bid Size,2000.0
Closing Price,16.95
Day Change $,0.23
Day Change %,0.0138
Day High,17.38
Day Low,16.56
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",0.2
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.45799999999999996
Last (size),16.0
Last (time),1:00p ET 11/25/22
Market Cap,643.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",86.04
Prev Close,16.72
Shares Outstanding,37.9M
Short Interest,0.019799999999999998
Today's Open,16.61
Volume,81708.0
Volume 10-day Avg,169801.0
Volume Past Day,(Light)
