,KELYA
Price/Earnings (TTM),86.04498
Price/Sales (TTM),0.12909
Price/Book (MRQ),0.51282
Price/Cash Flow (TTM),16.61804
5yr Low,10.13
5yr High,32.31
5yr Avg Return,-0.08428333333333332
EPS Growth 5yr,0.049352400000000005
Revenue Growth 5yr,-0.0143179
Dividend Growth 5yr,
Short Int Current Month,658241.0
Short Int Prev Month,791017.0
Short Int Pct of Float,0.019781200000000002
Days to Cover,3.38742
Float,33.62402
Shares Outstanding,37.94802
Institutions Holding Shares,236.0
% Held by Institutions,0.884993
FCF Growth 5yr,-0.7914036778582245
