,ENR
% Above Low,0.33130000000000004
% Held by Institutions,0.8794
52-Wk Range,['24.81 - 41.62']
Annual Dividend $,1.2
Annual Dividend %,0.0363
Ask,34.5
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,29.99
Bid Size,100.0
Closing Price,33.03
Day Change $,0.29
Day Change %,0.0089
Day High,33.16
Day Low,32.6
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",-3.27
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.348
Last (size),32.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,32.74
Shares Outstanding,71.3M
Short Interest,0.06860000000000001
Today's Open,32.67
Volume,246165.0
Volume 10-day Avg,737969.0
Volume Past Day,(Light)
